日期,渠道,用户状态,项目名称,会话时长,来源表,提取数值
2026-07-17,邮件营销,流失用户,下单流程,43.2s,补充明细,43.2
2026-07-21,自然流量,回流用户,详情页,61.7s,补充明细,61.7
2026-07-28,邮件营销,回流用户,详情页,45.2s,补充明细,45.2
2026-07-20,社交媒体,新用户,搜索功能,40.5s,补充明细,40.5
2026-07-13,付费广告,新用户,详情页,217.4s,补充明细,217.4
2026-07-10,付费广告,流失用户,搜索功能,42.0s,补充明细,42.0
2026-07-13,付费广告,新用户,下单流程,41.8s,补充明细,41.8
2026-07-23,邮件营销,流失用户,个人中心,218.3s,补充明细,218.3
2026-07-22,付费广告,活跃用户,详情页,220.3s,补充明细,220.3
2026-07-14,社交媒体,新用户,个人中心,43.1s,补充明细,43.1
2026-07-22,社交媒体,新用户,搜索功能,120.5s,补充明细,120.5
2026-07-01,自然流量,流失用户,下单流程,46.9s,补充明细,46.9
2026-07-27,社交媒体,流失用户,首页浏览,234.3s,补充明细,234.3
2026-07-17,自然流量,流失用户,个人中心,51.8s,补充明细,51.8
2026-07-27,邮件营销,新用户,个人中心,182.9s,补充明细,182.9
2026-07-13,邮件营销,回流用户,下单流程,24.3s,补充明细,24.3
2026-07-03,付费广告,流失用户,详情页,31.9s,补充明细,31.9
